iter	Passed	Remaining
0	49	49454
1	50	25371
2	51	17263
3	53	13203
4	54	10779
5	55	9191
6	56	8015
7	57	7123
8	58	6423
9	59	5870
10	60	5409
11	61	5035
12	62	4739
13	63	4470
14	64	4232
15	65	4026
16	66	3842
17	67	3671
18	68	3531
19	69	3398
20	70	3283
21	71	3173
22	72	3070
23	73	2975
24	74	2894
25	75	2813
26	75	2738
27	76	2669
28	77	2603
29	78	2541
30	79	2486
31	80	2431
32	81	2381
33	82	2333
34	83	2291
35	84	2251
36	84	2205
37	85	2163
38	86	2126
39	87	2093
40	88	2062
41	89	2031
42	89	2002
43	90	1973
44	91	1940
45	92	1914
46	93	1886
47	93	1861
48	94	1832
49	94	1802
50	95	1779
51	96	1756
52	97	1733
53	97	1711
54	98	1689
55	98	1668
56	99	1648
57	100	1627
58	100	1609
59	101	1589
60	102	1571
61	102	1552
62	103	1534
63	103	1516
64	104	1498
65	104	1481
66	105	1464
67	105	1444
68	105	1428
69	106	1414
70	107	1400
71	107	1386
72	108	1372
73	108	1357
74	109	1344
75	109	1331
76	109	1318
77	110	1305
78	110	1291
79	111	1278
80	111	1265
81	111	1253
82	112	1242
83	112	1230
84	113	1217
85	113	1205
86	113	1192
87	114	1181
88	114	1170
89	114	1159
90	114	1148
91	115	1137
92	115	1127
93	115	1116
94	116	1106
95	116	1096
96	116	1086
97	116	1076
98	117	1066
99	117	1057
100	117	1048
101	117	1038
102	118	1029
103	118	1020
104	118	1012
105	119	1003
106	119	995
107	119	987
108	119	979
109	120	972
110	120	964
111	120	956
112	120	949
113	121	942
114	121	934
115	121	927
116	121	920
117	122	913
118	122	906
119	122	899
120	122	893
121	123	886
122	123	879
123	123	873
124	123	867
125	124	861
126	124	855
127	124	848
128	124	843
129	125	837
130	125	832
131	125	826
132	125	821
133	126	815
134	126	810
135	126	805
136	127	800
137	127	794
138	127	790
139	127	785
140	128	780
141	128	775
142	128	771
143	128	766
144	129	761
145	129	757
146	129	752
147	130	748
148	130	744
149	130	739
150	130	735
151	131	731
152	131	727
153	131	723
154	131	719
155	132	715
156	132	711
157	132	707
158	133	703
159	133	699
160	133	696
161	133	692
162	134	689
163	134	685
164	134	682
165	135	678
166	135	674
167	135	671
168	135	667
169	136	664
170	136	661
171	136	657
172	136	654
173	137	651
174	137	648
175	137	644
176	138	641
177	138	638
178	138	635
179	138	632
180	138	628
181	139	625
182	139	622
183	139	619
184	140	617
185	140	614
186	140	611
187	140	608
188	141	605
189	141	602
190	141	600
191	141	597
192	142	594
193	142	592
194	142	589
195	143	586
196	143	584
197	143	581
198	143	579
199	144	576
200	144	574
201	144	571
202	145	569
203	145	567
204	145	564
205	145	562
206	146	560
207	146	557
208	146	555
209	147	553
210	147	550
211	147	548
212	147	546
213	148	544
214	148	541
215	148	539
216	149	537
217	149	535
218	149	533
219	149	531
220	150	529
221	150	527
222	150	525
223	151	523
224	151	521
225	151	519
226	151	517
227	152	515
228	152	513
229	152	511
230	152	509
231	153	507
232	153	505
233	153	503
234	154	501
235	154	499
236	154	497
237	154	496
238	155	494
239	155	492
240	155	490
241	156	488
242	156	486
243	156	485
244	156	483
245	157	481
246	157	479
247	157	478
248	158	476
249	158	475
250	158	473
251	158	471
252	159	470
253	159	468
254	159	466
255	160	465
256	160	463
257	160	462
258	160	460
259	161	458
260	161	457
261	161	455
262	162	454
263	162	453
264	162	451
265	163	450
266	163	448
267	163	447
268	164	446
269	164	444
270	164	443
271	165	442
272	165	440
273	165	439
274	166	438
275	166	436
276	166	435
277	167	433
278	167	432
279	167	431
280	167	429
281	168	428
282	168	426
283	168	425
284	169	424
285	169	422
286	169	421
287	169	419
288	170	418
289	170	417
290	170	415
291	171	414
292	171	413
293	171	412
294	171	410
295	172	409
296	172	408
