iter	Passed	Remaining
0	47	47168
1	47	23942
2	48	16280
3	50	12470
4	51	10203
5	52	8656
6	53	7535
7	53	6678
8	54	6008
9	55	5474
10	56	5040
11	57	4700
12	57	4391
13	58	4124
14	59	3893
15	60	3694
16	60	3513
17	61	3350
18	62	3202
19	62	3065
20	63	2958
21	64	2848
22	64	2748
23	65	2654
24	65	2570
25	66	2484
26	66	2403
27	67	2328
28	67	2265
29	68	2201
30	68	2143
31	68	2086
32	69	2032
33	69	1982
34	70	1933
35	70	1897
36	71	1860
37	71	1821
38	72	1784
39	72	1749
40	73	1713
41	73	1679
42	74	1649
43	74	1617
44	74	1588
45	75	1561
46	75	1535
47	76	1510
48	76	1485
49	76	1461
50	77	1438
51	77	1416
52	78	1394
53	78	1373
54	78	1354
55	79	1334
56	79	1315
57	79	1296
58	80	1279
59	80	1261
60	80	1244
61	81	1227
62	81	1211
63	81	1196
64	82	1182
65	82	1168
66	82	1155
67	83	1142
68	83	1129
69	84	1117
70	84	1106
71	84	1094
72	85	1082
73	85	1070
74	85	1060
75	86	1049
76	86	1038
77	86	1028
78	87	1017
79	87	1007
80	87	997
81	88	987
82	88	976
83	88	967
84	89	958
85	89	949
86	89	941
87	90	933
88	90	925
89	90	917
90	91	909
91	91	901
92	91	894
93	92	886
94	92	879
95	92	873
96	93	867
97	93	860
98	93	854
99	94	847
100	94	841
101	94	834
102	95	828
103	95	822
104	95	816
105	96	811
106	96	805
107	96	799
108	97	793
109	97	788
110	97	783
111	98	777
112	98	772
113	98	767
114	99	761
115	99	756
116	99	751
117	99	747
118	100	742
119	100	738
120	101	735
121	101	730
122	101	726
123	102	721
124	102	717
125	102	713
126	103	709
127	103	706
128	104	703
129	104	699
130	104	695
131	105	692
132	105	688
133	105	684
134	106	680
135	106	677
136	107	674
137	107	671
138	107	668
139	108	665
140	108	662
141	109	659
142	109	656
143	109	653
144	110	650
145	110	648
146	111	645
147	111	642
148	111	639
149	112	636
150	112	633
151	113	630
152	113	627
153	113	625
154	114	622
155	114	619
156	114	617
157	115	615
158	115	612
159	116	610
160	116	607
161	116	604
162	117	602
163	117	599
164	118	597
165	118	595
166	118	592
167	119	590
168	119	588
169	119	585
170	120	583
171	120	581
172	121	578
173	121	576
174	121	574
175	122	572
176	122	570
177	123	568
178	123	566
179	123	563
180	124	561
181	124	559
182	124	557
183	125	555
184	125	552
185	125	550
186	126	548
187	126	546
188	126	544
189	127	542
190	127	540
191	127	538
192	128	536
193	128	533
194	128	532
195	129	530
196	129	528
197	129	526
198	130	524
199	130	522
200	130	520
201	131	518
202	131	516
203	132	515
204	132	513
205	132	511
206	133	509
207	133	507
208	133	506
209	134	504
210	134	502
211	134	501
212	135	499
213	135	497
214	136	497
215	136	496
216	137	495
217	137	493
218	138	492
219	138	491
220	138	489
221	139	487
222	139	486
223	140	485
224	140	483
225	140	482
226	141	480
227	141	478
228	141	477
229	142	475
230	142	474
231	142	472
232	143	471
233	143	469
234	143	468
235	144	466
236	144	465
237	144	464
238	145	462
239	145	461
240	146	460
241	146	458
242	146	457
243	147	456
244	147	455
245	148	453
246	148	452
247	148	451
248	149	450
249	149	448
250	149	447
251	150	446
252	150	444
253	151	443
254	151	442
255	151	441
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	435
262	154	433
263	155	432
264	155	431
265	155	429
266	156	428
267	156	427
268	156	426
269	157	424
270	157	423
271	157	422
272	158	421
273	158	420
274	158	418
275	159	417
276	159	416
277	159	415
278	160	414
279	160	413
280	160	411
281	161	410
282	161	409
283	161	408
284	162	406
285	162	405
286	162	404
287	163	403
288	163	402
289	163	401
290	164	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	166	391
299	167	389
300	167	388
301	167	387
302	168	386
303	168	385
304	168	384
305	169	383
306	169	382
307	169	381
308	170	380
309	170	379
310	170	378
311	170	376
312	171	375
313	171	374
314	171	373
315	172	372
316	172	371
317	172	370
318	173	369
319	173	368
320	173	367
321	174	366
322	174	365
323	174	364
324	175	363
325	175	362
326	175	361
327	176	361
328	177	361
329	177	360
330	177	359
331	178	358
332	178	357
333	178	356
334	178	355
335	179	354
336	179	353
337	180	352
