iter	Passed	Remaining
0	48	48781
1	49	24870
2	50	16845
3	51	12802
4	52	10383
5	52	8769
6	53	7620
7	54	6749
8	55	6088
9	56	5552
10	56	5121
11	57	4761
12	58	4453
13	59	4199
14	60	3961
15	61	3761
16	62	3593
17	63	3440
18	63	3300
19	64	3179
20	65	3055
21	66	2936
22	66	2842
23	67	2755
24	68	2677
25	69	2603
26	70	2536
27	71	2472
28	72	2413
29	72	2357
30	73	2307
31	74	2265
32	75	2224
33	76	2183
34	77	2141
35	78	2102
36	79	2065
37	80	2036
38	81	2005
39	82	1976
40	83	1948
41	83	1914
42	84	1886
43	85	1859
44	86	1833
45	87	1811
46	88	1788
47	89	1766
48	89	1742
49	90	1719
50	91	1698
51	92	1679
52	92	1661
53	93	1643
54	94	1625
55	95	1608
56	96	1588
57	96	1570
58	97	1553
59	98	1537
60	98	1522
61	99	1506
62	100	1491
63	100	1475
64	101	1462
65	102	1445
66	102	1430
67	103	1411
68	103	1397
69	104	1382
70	104	1367
71	105	1353
72	105	1340
73	105	1326
74	106	1312
75	106	1300
76	107	1286
77	107	1273
78	108	1259
79	108	1246
80	108	1233
81	109	1221
82	109	1209
83	109	1197
84	110	1184
85	110	1173
86	110	1160
87	110	1149
88	111	1138
89	111	1128
90	111	1117
91	112	1107
92	112	1097
93	112	1087
94	113	1077
95	113	1067
96	113	1058
97	113	1048
98	114	1039
99	114	1030
100	114	1021
101	114	1011
102	115	1003
103	115	995
104	115	986
105	116	978
106	116	970
107	116	963
108	116	955
109	117	948
110	117	940
111	117	933
112	118	926
113	118	919
114	118	912
115	118	905
116	119	898
117	119	892
118	119	885
119	120	880
120	120	874
121	120	869
122	120	862
123	121	856
124	121	850
125	121	845
126	122	840
127	122	834
128	122	829
129	123	824
130	123	819
131	123	813
132	124	808
133	124	803
134	124	798
135	124	793
136	125	788
137	125	783
138	125	778
139	126	774
140	126	770
141	126	765
142	127	761
143	127	756
144	127	752
145	127	747
146	128	743
147	128	739
148	128	734
149	128	730
150	129	726
151	129	722
152	129	718
153	130	714
154	130	711
155	130	707
156	131	703
157	131	699
158	131	696
159	131	692
160	132	688
161	132	685
162	132	681
163	133	678
164	133	674
165	133	671
166	133	668
167	134	664
168	134	661
169	134	657
170	135	654
171	135	651
172	135	648
173	135	644
174	136	641
175	136	638
176	136	635
177	136	632
178	137	629
179	137	626
180	137	622
181	137	620
182	138	617
183	138	614
184	138	611
185	139	608
186	139	605
187	139	603
188	139	600
189	140	597
190	140	595
191	140	592
192	141	589
193	141	587
194	141	585
195	142	582
196	142	580
197	142	578
198	143	576
199	143	573
200	143	571
201	144	569
202	144	567
203	144	565
204	145	562
205	145	560
206	145	558
207	145	555
208	146	553
209	146	551
210	146	549
211	147	546
212	147	544
213	147	542
214	148	540
215	148	538
216	148	536
217	148	533
218	149	531
219	149	529
220	149	527
221	150	526
222	150	524
223	150	522
224	151	521
225	151	519
226	151	517
227	152	515
228	152	513
229	152	511
230	153	509
231	153	508
232	153	506
233	154	504
234	154	502
235	154	500
236	154	498
237	155	496
238	155	495
239	155	493
240	156	491
241	156	490
242	156	488
243	157	486
244	157	485
245	157	483
246	158	482
247	158	480
248	158	479
249	159	477
250	159	475
251	159	474
252	160	472
253	160	470
254	160	469
255	160	467
256	161	466
257	161	464
258	161	462
259	162	461
260	162	459
261	162	458
262	162	456
263	163	454
264	163	453
265	163	451
266	164	450
267	164	448
268	164	447
269	164	445
270	165	444
271	165	442
272	165	441
273	166	439
274	166	438
275	166	437
276	166	435
277	167	434
278	167	432
279	167	431
280	167	429
281	168	428
282	168	427
283	169	426
284	169	424
285	169	423
286	169	422
287	170	420
288	170	419
289	170	418
290	171	417
291	171	415
292	171	414
293	172	413
294	172	411
295	172	410
296	172	409
297	173	407
298	173	406
299	173	405
300	173	404
301	174	402
302	174	401
303	174	400
304	175	398
305	175	397
306	175	396
307	175	395
308	176	394
309	176	392
310	176	391
311	177	390
312	177	389
313	177	388
314	177	386
315	178	385
316	178	384
317	178	383
318	179	382
319	179	381
320	179	380
321	179	378
322	180	377
323	180	376
324	180	375
325	181	374
326	181	373
327	181	372
328	181	371
329	182	369
330	182	368
331	182	367
332	183	366
333	183	365
334	183	364
335	183	363
336	184	362
337	184	361
338	184	360
339	185	359
340	185	358
341	185	357
342	185	356
343	186	355
344	186	354
345	186	353
346	187	352
347	187	351
348	187	350
349	187	349
350	188	348
351	188	347
352	188	346
353	189	345
354	189	344
355	189	343
356	189	342
357	190	341
358	190	340
359	190	339
360	191	338
361	191	337
362	191	336
363	191	335
364	192	334
365	192	333
366	192	332
367	193	331
368	193	330
369	193	329
370	194	328
371	194	328
372	194	327
373	194	326
374	195	325
375	195	324
376	195	323
377	196	322
378	196	321
379	196	320
380	196	319
381	197	318
382	197	318
383	197	317
384	198	316
385	198	315
386	198	314
387	198	313
388	199	312
389	199	311
390	199	311
391	199	310
392	200	309
393	200	308
394	200	307
395	201	306
396	201	305
397	201	305
398	201	304
399	202	303
400	202	302
401	202	301
402	203	300
403	203	300
404	203	299
405	203	298
406	204	297
407	204	296
408	204	295
409	205	295
410	205	294
411	205	293
412	205	292
413	206	291
414	206	291
415	206	290
416	207	289
417	207	288
418	207	288
419	208	287
420	208	286
421	208	285
422	209	285
423	209	284
424	209	283
425	210	282
426	210	282
427	210	281
428	210	280
429	211	279
430	211	279
431	211	278
432	212	277
433	212	276
434	212	276
435	212	275
436	213	274
437	213	273
438	213	273
439	214	272
440	214	271
441	214	271
442	215	270
443	215	269
444	215	269
445	216	268
446	216	267
447	216	267
448	217	266
449	217	265
450	217	264
451	218	264
452	218	263
453	218	263
454	219	262
455	219	261
456	219	261
457	220	260
458	220	259
459	220	259
460	221	258
461	221	257
462	221	257
463	221	256
464	222	255
465	222	255
466	222	254
467	223	253
468	223	253
469	223	252
470	224	251
471	224	251
472	224	250
473	225	249
474	225	249
475	225	248
476	226	247
477	226	247
478	226	246
479	226	245
480	227	245
481	227	244
482	227	243
483	228	243
484	228	242
485	228	241
486	229	241
487	229	240
488	229	239
489	229	239
490	230	238
491	230	237
492	230	237
493	231	236
494	231	235
495	231	235
496	231	234
497	232	234
498	232	233
499	232	232
500	233	232
501	233	231
502	233	230
503	234	230
504	234	229
505	234	229
506	234	228
507	235	227
508	235	227
509	235	226
510	236	225
511	236	225
512	236	224
513	236	224
514	237	223
515	237	222
516	237	222
517	238	221
518	238	220
519	238	220
520	238	219
521	239	219
522	239	218
523	239	217
524	240	217
525	240	216
526	240	216
527	240	215
528	241	214
529	241	214
530	241	213
531	242	212
532	242	212
533	242	211
534	242	211
535	243	210
536	243	209
537	243	209
538	244	208
539	244	208
540	244	207
541	244	206
542	245	206
543	245	205
544	245	205
545	246	204
546	246	204
547	246	203
548	246	202
549	247	202
550	247	201
551	247	201
552	247	200
553	248	199
554	248	199
555	248	198
556	249	198
557	249	197
558	249	196
559	249	196
560	250	195
561	250	195
562	250	194
563	251	194
564	251	193
565	251	193
566	252	192
567	252	192
568	252	191
569	253	190
570	253	190
571	253	189
572	254	189
573	254	188
574	254	188
575	254	187
576	255	187
577	255	186
578	255	185
579	256	185
580	256	184
581	256	184
582	256	183
583	257	183
584	257	182
585	257	182
586	258	181
587	258	181
588	258	180
589	259	180
590	259	179
591	260	179
592	260	178
593	260	178
594	260	177
595	261	177
596	261	176
597	261	176
598	262	175
599	262	175
600	262	174
601	263	173
602	263	173
603	263	172
604	264	172
605	264	172
606	264	171
607	265	171
608	265	170
609	265	170
610	266	169
611	266	169
612	266	168
613	267	167
614	267	167
615	267	166
616	268	166
617	268	165
618	268	165
619	268	164
620	269	164
621	269	163
622	269	163
623	270	162
624	270	162
625	270	161
626	270	161
627	271	160
628	271	160
629	271	159
630	272	159
631	272	158
632	272	158
633	272	157
634	273	157
635	273	156
636	273	155
637	273	155
638	274	154
639	274	154
640	274	153
641	275	153
642	275	152
643	275	152
644	276	151
645	276	151
646	276	150
647	276	150
648	277	149
649	277	149
650	277	148
651	278	148
652	278	147
653	278	147
654	279	146
655	279	146
656	279	145
657	279	145
658	280	144
659	280	144
660	280	143
661	281	143
662	281	142
663	281	142
664	281	142
665	282	141
666	282	141
667	282	140
668	283	140
669	283	139
670	283	139
671	283	138
672	284	138
673	284	137
674	284	137
675	285	136
676	285	136
677	285	135
678	285	135
679	286	134
680	286	134
681	286	133
682	287	133
683	287	132
684	287	132
685	287	131
686	288	131
687	288	130
688	288	130
689	289	129
690	289	129
691	289	128
692	290	128
693	290	128
694	290	127
695	290	127
696	291	126
697	291	126
698	291	125
699	292	125
700	292	124
701	292	124
702	292	123
703	293	123
704	293	122
705	293	122
706	293	121
707	294	121
708	294	120
709	294	120
710	295	119
711	295	119
712	295	119
713	296	118
714	296	118
715	296	117
716	296	117
717	297	116
718	297	116
719	297	115
720	297	115
721	298	114
722	298	114
723	298	113
724	299	113
725	299	113
726	299	112
727	300	112
728	300	111
729	300	111
730	300	110
731	301	110
732	301	109
733	301	109
734	302	108
735	302	108
736	302	108
737	302	107
738	303	107
739	303	106
740	303	106
741	304	105
742	304	105
743	304	104
744	304	104
745	305	103
746	305	103
747	305	103
748	306	102
749	306	102
750	306	101
751	306	101
752	307	100
753	307	100
754	307	99
755	308	99
756	308	98
757	308	98
758	308	98
759	309	97
760	309	97
761	309	96
762	310	96
763	310	95
764	310	95
765	310	94
766	311	94
767	311	94
768	311	93
769	312	93
770	312	92
771	312	92
772	312	91
773	313	91
774	313	90
775	313	90
776	314	90
777	314	89
778	314	89
779	314	88
780	315	88
781	315	87
782	315	87
783	316	87
784	316	86
785	316	86
786	317	85
787	317	85
788	317	84
789	317	84
790	318	84
791	318	83
792	318	83
793	319	82
794	319	82
795	319	81
796	320	81
797	320	81
798	320	80
799	320	80
800	321	79
801	321	79
802	321	78
803	322	78
804	322	78
805	322	77
806	322	77
807	323	76
808	323	76
809	323	75
810	324	75
811	324	75
812	324	74
813	324	74
814	325	73
815	325	73
816	325	72
817	325	72
818	326	72
819	326	71
820	326	71
821	327	70
822	327	70
823	327	69
824	327	69
825	328	69
826	328	68
827	328	68
828	329	67
829	329	67
830	329	67
831	329	66
832	330	66
833	330	65
834	330	65
835	331	64
836	331	64
837	331	64
838	331	63
839	332	63
840	332	62
841	332	62
842	333	62
843	333	61
844	333	61
845	333	60
846	334	60
847	334	59
848	334	59
849	335	59
850	335	58
851	335	58
852	335	57
853	336	57
854	336	57
855	336	56
856	337	56
857	337	55
858	337	55
859	338	55
860	338	54
861	338	54
862	338	53
863	339	53
864	339	52
865	339	52
866	340	52
867	340	51
868	340	51
869	340	50
870	341	50
871	341	50
872	341	49
873	341	49
874	342	48
875	342	48
876	342	48
877	343	47
878	343	47
879	343	46
880	343	46
881	344	46
882	344	45
883	344	45
884	345	44
885	345	44
886	345	44
887	345	43
888	346	43
889	346	42
890	346	42
891	347	42
892	347	41
893	347	41
894	347	40
895	348	40
896	348	40
897	348	39
898	349	39
899	349	38
900	349	38
901	349	38
902	350	37
903	350	37
904	350	36
905	351	36
906	351	36
907	351	35
908	351	35
909	352	34
910	352	34
911	352	34
912	353	33
913	353	33
914	353	32
915	353	32
916	354	32
917	354	31
918	354	31
919	355	30
920	355	30
921	355	30
922	355	29
923	356	29
924	356	28
925	356	28
926	357	28
927	357	27
928	357	27
929	357	26
930	358	26
931	358	26
932	358	25
933	359	25
934	359	24
935	359	24
936	359	24
937	360	23
938	360	23
939	360	23
940	360	22
941	361	22
942	361	21
943	361	21
944	362	21
945	362	20
946	362	20
947	362	19
948	363	19
949	363	19
950	363	18
951	363	18
952	364	17
953	364	17
954	364	17
955	365	16
956	365	16
957	365	16
958	365	15
959	366	15
960	366	14
961	366	14
962	367	14
963	367	13
964	367	13
965	367	12
966	368	12
967	368	12
968	368	11
969	369	11
970	369	11
971	369	10
972	369	10
973	370	9
974	370	9
975	370	9
976	371	8
977	371	8
978	371	7
979	371	7
980	372	7
981	372	6
982	372	6
983	373	6
984	373	5
985	373	5
986	373	4
987	374	4
988	374	4
989	374	3
990	375	3
991	375	3
992	375	2
993	375	2
994	376	1
995	376	1
996	376	1
997	377	0
998	377	0
999	377	0
